RegionName,Date,State,Metro,County,City,SizeRank,Zri,YoY,ZriRecordCnt
98110,9/30/18,WA,Bremerton-Silverdale,Kitsap,Bainbridge Island,4247,3042,0.010295583,9851
98221,9/30/18,WA,Mount Vernon-Anacortes,Skagit,Anacortes,4261,1890,0.04767184,11610
98106,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,4264,2199,-0.024833703,7711
98367,9/30/18,WA,Bremerton-Silverdale,Kitsap,Port Orchard,4294,1774,0.000564016,9319
98409,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Tacoma,4366,1442,0.03073624,6804
98375,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,South Hill,4434,1794,0.013559322,9364
98072,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Woodinville,4437,2631,-0.043272727,7906
98626,9/30/18,WA,Longview,Cowlitz,Kelso,4453,1291,-0.027128862,7538
98338,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Graham,4485,1844,0.042986425,7826
98516,9/30/18,WA,Olympia-Tumwater,Thurston,Lacey,4499,1740,0.002304147,8608
98126,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,4505,2378,-0.041515518,7744
98372,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Puyallup,4530,1888,0.044825678,7198
98248,9/30/18,WA,Bellingham,Whatcom,Ferndale,4630,1543,-0.084816133,7308
98383,9/30/18,WA,Bremerton-Silverdale,Kitsap,Silverdale,4660,1796,-0.002776235,5523
98284,9/30/18,WA,Mount Vernon-Anacortes,Skagit,Sedro-Woolley,4714,1624,0.065616798,7861
98311,9/30/18,WA,Bremerton-Silverdale,Kitsap,Bremerton,4734,1644,0.008588957,8143
98272,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Monroe,4758,1996,-0.045889101,7756
98371,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Puyallup,4763,1846,0.033016228,7037
98188,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seatac,4803,1947,0.002058672,5926
98597,9/30/18,WA,Olympia-Tumwater,Thurston,Yelm,4815,1525,0.040955631,7750
99354,9/30/18,WA,Kennewick-Richland,Benton,Richland,4855,1456,0.01181376,7067
98008,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Bellevue,4872,2639,-0.035100548,8684
98199,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,4888,2881,-0.079258549,8327
98406,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Tacoma,4902,1941,0.026984127,7856
98166,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Burien,4927,2333,-0.037938144,7337
98055,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Renton,4951,2119,-0.010275572,6373
98664,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Vancouver,4982,1637,0.006146281,7540
98178,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Bryn Mawr-Skyway,4985,2139,-0.029491833,7630
98671,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Washougal,4995,1843,-0.011266094,8181
99203,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane,5005,1443,-0.015017065,8314
98028,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Kenmore,5013,2460,-0.031496063,7999
98074,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Sammamish,5015,2854,-0.052771324,9487
98292,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Stanwood,5049,1997,-0.041746641,7324
98310,9/30/18,WA,Bremerton-Silverdale,Kitsap,Bremerton,5069,1490,0.031855956,6492
98407,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Tacoma,5072,1926,0.032154341,8142
98275,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Mukilteo,5083,2423,-0.027298274,7516
98532,9/30/18,WA,Centralia,Lewis,Chehalis,5087,1254,0.088541667,7159
98020,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Edmonds,5127,2564,-0.014982712,8173
99224,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane,5149,1499,-0.025990903,5627
98022,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Enumclaw,5204,2078,-0.024413146,7216
98043,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Mountlake Terrace,5313,2004,-0.004470939,6654
98520,9/30/18,WA,Aberdeen,Grays Harbor,Aberdeen,5320,949,-0.003151261,7902
98296,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Snohomish,5335,2441,-0.037080868,8855
99403,9/30/18,WA,Lewiston,Asotin,Clarkston,5466,1394,0.078112916,7058
98368,9/30/18,WA,,Jefferson,Port Townsend,5474,1685,-0.00295858,7934
98104,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,5558,2258,-0.055230126,1599
99212,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane Valley,5559,1239,0.043807919,7393
99004,9/30/18,WA,Spokane-Spokane Valley,Spokane,Cheney,5667,1337,0.018278751,4272
98108,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,5759,2327,-0.027986633,6498
98005,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Bellevue,5777,2822,-0.04983165,6215
98264,9/30/18,WA,Bellingham,Whatcom,Lynden,5779,1565,-0.064554692,6916
98506,9/30/18,WA,Olympia-Tumwater,Thurston,Olympia,5836,1644,0.005504587,6715
98230,9/30/18,WA,Bellingham,Whatcom,Blaine,5852,1479,-0.035853977,7668
98177,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Shoreline,5900,2654,-0.064504759,7744
98075,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Sammamish,5938,3205,-0.053175775,7964
98053,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Redmond,5954,2734,-0.052339688,7937
99202,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane,6045,1064,0.051383399,6004
98422,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Tacoma,6160,2026,0.021169355,7392
98642,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Ridgefield,6235,1959,-0.010106114,6817
98686,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Barberton,6282,1893,0.014469453,6266
99217,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane,6352,1243,0.049831081,5549
98282,9/30/18,WA,Oak Harbor,Island,Camano Island,6355,1692,0.011356844,9357
98136,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,6365,2501,-0.073360504,6483
98408,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Tacoma,6372,1517,0.012683578,7066
99201,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane,6399,1027,0.072025052,3484
98332,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Gig Harbor,6539,2233,0.020566728,6555
98942,9/30/18,WA,Yakima,Yakima,Selah,6558,1393,0.031851852,5588
98274,9/30/18,WA,Mount Vernon-Anacortes,Skagit,Mount Vernon,6576,1734,0.024822695,6963
98944,9/30/18,WA,Yakima,Yakima,Sunnyside,6652,1042,0.061099796,4403
98057,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Renton,6656,1946,-0.005620848,2771
99037,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane Valley,6815,1422,-0.056403451,4377
99016,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane Valley,6956,1404,-0.019553073,5009
98467,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,University Place,7014,2058,0.043610548,4399
99353,9/30/18,WA,Kennewick-Richland,Benton,West Richland,7144,1597,-0.016625616,4600
98045,9/30/18,WA,Seattle-Tacoma-Bellevue,King,North Bend,7194,2263,-0.037021277,5056
98903,9/30/18,WA,Yakima,Yakima,Yakima,7233,1142,-0.002620087,5184
98233,9/30/18,WA,Mount Vernon-Anacortes,Skagit,Burlington,7251,1635,0.013639182,4597
98663,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Vancouver,7265,1635,0.007393715,4938
99344,9/30/18,WA,Othello,Adams,Othello,7323,1276,0.051937345,2640
