RegionName,Date,State,Metro,County,City,SizeRank,Zri,YoY,ZriRecordCnt
98241,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Darrington,14251,1620,0.052631579,803
98947,9/30/18,WA,Yakima,Yakima,Tieton,14324,1144,0.011494253,719
98325,9/30/18,WA,,Jefferson,Chimacum,14341,1599,0.001879699,514
98568,9/30/18,WA,Aberdeen,Grays Harbor,Oakville,14443,997,-0.118479222,596
98537,9/30/18,WA,Aberdeen,Grays Harbor,Cosmopolis,14613,997,-0.112199466,439
98394,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Vaughn,14659,1886,0.053042993,476
98828,9/30/18,WA,Wenatchee,Chelan,Malaga,14736,1490,0.006756757,775
98320,9/30/18,WA,,Jefferson,Brinnon,14745,1488,0.04494382,1005
98588,9/30/18,WA,Shelton,Mason,Tahuya,14762,1441,0.100840336,904
98377,9/30/18,WA,Centralia,Lewis,Randle,14851,1227,0.244421907,577
