RegionName,City,State,Metro,CountyName,2013,2014,2015,2016,2017,2018
98498,Lakewood,WA,Seattle-Tacoma-Bellevue,Pierce,0.000,0.000,0.000,0.000,1.135,1.222
98029,Issaquah,WA,Seattle-Tacoma-Bellevue,King,1.196,1.271,1.368,1.391,1.481,1.495
98007,Bellevue,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,1.540,1.678,1.663
98607,Camas,WA,Portland-Vancouver-Hillsboro,Clark,0.000,0.000,0.000,0.962,1.052,1.077
98445,Parkland,WA,Seattle-Tacoma-Bellevue,Pierce,0.000,0.000,0.000,0.000,1.009,1.048
98001,Auburn,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,1.073,1.127
98665,Hazel Dell North,WA,Portland-Vancouver-Hillsboro,Clark,0.000,0.000,0.000,0.000,1.048,1.067
98101,Seattle,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,3.194,3.215
98112,Seattle,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,2.255,2.305
98405,Tacoma,WA,Seattle-Tacoma-Bellevue,Pierce,0.000,0.000,0.000,0.000,1.305,1.385
98040,Mercer Island,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,1.725,1.763
98685,Salmon Creek,WA,Portland-Vancouver-Hillsboro,Clark,0.000,0.000,0.000,0.000,1.011,1.082
98110,Bainbridge Island,WA,Bremerton-Silverdale,Kitsap,0.000,0.000,0.000,0.000,1.679,1.708
98106,Seattle,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,1.738,1.770
98375,South Hill,WA,Seattle-Tacoma-Bellevue,Pierce,0.766,0.763,0.792,0.817,0.897,0.949
98516,Lacey,WA,Olympia-Tumwater,Thurston,0.000,0.000,0.000,0.855,0.963,0.989
98008,Bellevue,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,1.372,1.488,1.544
98199,Seattle,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,2.048,2.010
98406,Tacoma,WA,Seattle-Tacoma-Bellevue,Pierce,0.000,0.000,0.000,0.000,1.541,1.564
98055,Renton,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,1.286,1.299
98028,Kenmore,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,1.286,1.329
98074,Sammamish,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,1.305,1.286,1.321
98005,Bellevue,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,1.744,1.722
98075,Sammamish,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,1.218,1.218
98136,Seattle,WA,Seattle-Tacoma-Bellevue,King,0.000,0.000,0.000,0.000,1.795,2.060
98327,Dupont,WA,Seattle-Tacoma-Bellevue,Pierce,0.000,0.000,0.000,0.920,0.975,1.003
