IncomeId,ZipCode,City,State,Population,AvgIncome,NationalRank
142,99036,Valleyford,WA,950,48424,6552
143,98845,Palisades,WA,95,48333,6591
144,98908,Yakima,WA,32380,48007,6716
145,98372,Puyallup,WA,20928,47927,6748
146,98575,Quinault,WA,191,47778,6822
147,98385,South Prairie,WA,182,47750,6832
148,98328,Eatonville,WA,8785,47728,6839
149,98662,Vancouver,WA,23772,47623,6897
150,98580,Roy,WA,9250,47585,6916
151,98251,Gold Bar,WA,4181,47563,6930
152,98126,Seattle,WA,18906,47519,6945
153,98651,Underwood,WA,976,47500,6969
154,98178,Seattle,WA,21860,47461,6983
155,98294,Sultan,WA,5621,47331,7028
156,98466,Tacoma,WA,24598,47286,7051
157,98501,Olympia,WA,33049,47230,7075
158,98365,Port Ludlow,WA,3563,47229,7076
159,98043,Mountlake Terrace,WA,20333,47210,7084
160,98274,Mount Vernon,WA,13477,47136,7133
161,98524,Allyn,WA,1424,47048,7179
162,98445,Tacoma,WA,22412,46986,7213
163,98828,Malaga,WA,1896,46971,7223
164,98236,Clinton,WA,5720,46930,7250
165,98388,Steilacoom,WA,6278,46875,7288
166,98502,Olympia,WA,26142,46776,7350
167,98671,Washougal,WA,15085,46695,7405
168,98198,Seattle,WA,33561,46628,7432
169,98240,Custer,WA,2785,46583,7452
170,98942,Selah,WA,15328,46418,7542
171,99320,Benton City,WA,8286,46352,7568
172,98288,Skykomish,WA,433,46324,7582
173,98146,Seattle,WA,25574,46321,7583
174,99208,Spokane,WA,34581,46311,7587
175,98359,Olalla,WA,3927,46278,7600
176,98371,Puyallup,WA,20215,46268,7602
177,99131,Gifford,WA,188,46250,7608
178,98239,Coupeville,WA,5834,46235,7643
179,98589,Tenino,WA,6496,46111,7712
180,98407,Tacoma,WA,20523,46025,7774
181,98664,Vancouver,WA,20403,45909,7850
182,98257,La Conner,WA,3606,45870,7870
183,98047,Pacific,WA,5174,45505,8080
184,98345,Keyport,WA,403,45500,8089
185,98260,Langley,WA,4878,45469,8112
186,98674,Woodland,WA,9065,45452,8119
187,98601,Amboy,WA,2327,45380,8153
188,98392,Suquamish,WA,2362,45357,8172
189,98625,Kalama,WA,4483,45083,8330
190,98248,Ferndale,WA,18131,45050,8349
191,98250,Friday Harbor,WA,6894,45000,8374
192,98396,Wilkeson,WA,402,45000,8376
193,98503,Lacey,WA,32466,44902,8441
194,98611,Castle Rock,WA,8317,44897,8442
195,98506,Olympia,WA,17406,44775,8503
196,98118,Seattle,WA,40791,44697,8540
197,98366,Port Orchard,WA,31594,44692,8541
198,98406,Tacoma,WA,23511,44575,8603
199,98264,Lynden,WA,16795,44531,8634
200,98233,Burlington,WA,12521,44454,8672
201,98585,Silver Creek,WA,558,44375,8713
202,99003,Chattaroy,WA,4493,44345,8730
203,98349,Lakebay,WA,3875,44167,8817
204,98226,Bellingham,WA,56465,44100,8854
205,98498,Lakewood,WA,28894,43938,8928
206,98943,South Cle Elum,WA,470,43750,9033
207,98645,Silverlake,WA,1240,43450,9248
208,98528,Belfair,WA,7860,43375,9310
209,99218,Spokane,WA,13039,43320,9346
210,98665,Vancouver,WA,20631,43162,9440
211,98325,Chimacum,WA,1348,43140,9446
212,98853,Stratford,WA,56,43125,9464
213,98003,Federal Way,WA,42255,43027,9524
214,98221,Anacortes,WA,18771,42996,9552
215,98249,Freeland,WA,3690,42883,9629
216,98055,Renton,WA,26953,42758,9700
217,99027,Otis Orchards,WA,6506,42750,9705
218,98933,Harrah,WA,1199,42708,9729
219,98245,Eastsound,WA,3217,42633,9789
220,98576,Rainier,WA,3303,42420,9943
221,98125,Seattle,WA,34994,42400,9966
222,98262,Lummi Island,WA,812,42279,10051
223,98107,Seattle,WA,18516,42195,10138
224,98247,Everson,WA,8162,42191,10141
225,98588,Tahuya,WA,1599,42102,10233
226,98032,Kent,WA,28778,42042,10285
227,99322,Bickleton,WA,245,42031,10293
228,98936,Moxee,WA,3458,41984,10341
229,98579,Rochester,WA,9793,41961,10359
230,98277,Oak Harbor,WA,36676,41891,10406
231,98102,Seattle,WA,19424,41850,10457
232,98563,Montesano,WA,7380,41743,10546
233,98133,Seattle,WA,42896,41743,10547
234,98923,Cowiche,WA,1564,41694,10579
235,98670,Wahkiacus,WA,107,41667,10598
236,98802,East Wenatchee,WA,23179,41553,10684
237,99356,Roosevelt,WA,175,41250,10925
238,98536,Copalis Crossing,WA,257,41250,10926
239,98283,Rockport,WA,378,41250,10927
240,98286,Shaw Island,WA,235,41250,10928
241,98922,Cle Elum,WA,4597,41162,11019
242,98421,Tacoma,WA,603,41103,11060
243,98168,Seattle,WA,30198,41097,11067
244,98612,Cathlamet,WA,2551,41053,11105
245,98597,Yelm,WA,14356,41015,11137
246,98826,Leavenworth,WA,6586,40975,11182
247,98638,Naselle,WA,1370,40926,11230
248,98284,Sedro Woolley,WA,22940,40851,11295
249,98220,Acme,WA,648,40833,11310
250,98230,Blaine,WA,10743,40827,11322
251,98106,Seattle,WA,23317,40815,11333
252,98946,Thorp,WA,461,40804,11346
253,99020,Marshall,WA,51,40781,11370
254,98538,Curtis,WA,312,40750,11397
255,99179,Uniontown,WA,499,40714,11432
256,98144,Seattle,WA,24913,40693,11448
257,99016,Greenacres,WA,7009,40638,11492
258,98188,Seattle,WA,22583,40618,11521
259,99126,Evans,WA,748,40592,11536
260,99029,Reardan,WA,1341,40521,11603
261,99018,Latah,WA,270,40500,11619
262,99102,Albion,WA,563,40446,11676
263,98603,Ariel,WA,732,40398,11733
264,99008,Edwall,WA,707,40391,11744
265,98649,Toutle,WA,735,40313,11823
266,98273,Mount Vernon,WA,25217,40304,11838
267,98565,Napavine,WA,499,40294,11846
268,98815,Cashmere,WA,7778,40256,11885
269,98105,Seattle,WA,38963,40246,11899
270,99371,Washtucna,WA,419,40192,11956
271,98312,Bremerton,WA,31968,40133,12030
272,98814,Carlton,WA,567,40085,12061
273,98555,Lilliwaup,WA,476,40000,12124
274,98224,Baring,WA,202,40000,12163
275,98376,Quilcene,WA,1767,39896,12221
276,99301,Pasco,WA,40905,39786,12318
277,98537,Cosmopolis,WA,1793,39750,12348
278,99006,Deer Park,WA,9163,39663,12414
279,98532,Chehalis,WA,20211,39614,12472
280,98619,Glenwood,WA,522,39583,12486
281,99206,Spokane,WA,31711,39535,12530
282,98330,Elbe,WA,63,39500,12561
283,98546,Grapeview,WA,2256,39331,12724
284,98596,Winlock,WA,6567,39179,12840
285,98592,Union,WA,1281,39167,12861
286,99350,Prosser,WA,11399,39055,12953
287,98663,Vancouver,WA,14152,39022,12978
288,98925,Easton,WA,588,38958,13041
289,99217,Spokane,WA,11267,38902,13096
290,99224,Spokane,WA,16084,38890,13106
291,98639,North Bonneville,WA,467,38875,13120
292,99345,Paterson,WA,222,38750,13218
293,99335,Kahlotus,WA,288,38750,13219
294,98938,Outlook,WA,1992,38700,13287
295,99341,Lind,WA,998,38594,13376
296,98261,Lopez Island,WA,2179,38594,13381
297,98584,Shelton,WA,31214,38543,13413
298,98641,Oysterville,WA,48,38542,13416
299,98108,Seattle,WA,21223,38413,13545
300,98222,Blakely Island,WA,64,38393,13569
301,99361,Waitsburg,WA,1929,38269,13677
302,98559,Malone,WA,88,38250,13685
303,98632,Longview,WA,47202,38195,13729
304,98358,Nordland,WA,837,38182,13746
305,98368,Port Townsend,WA,12818,38100,13822
306,98548,Hoodsport,WA,1766,38095,13826
307,98408,Tacoma,WA,29095,38030,13888
308,99161,Palouse,WA,1454,37955,13976
309,99216,Spokane,WA,21576,37930,13985
310,99360,Touchet,WA,1171,37895,14018
311,98363,Port Angeles,WA,12167,37791,14116
312,98672,White Salmon,WA,5088,37769,14136
313,98626,Kelso,WA,22549,37760,14140
314,99158,Oakesdale,WA,608,37708,14194
315,98858,Waterville,WA,1659,37679,14232
316,99343,Mesa,WA,3086,37674,14240
317,99105,Benge,WA,57,37500,14390
318,98591,Toledo,WA,2997,37474,14430
319,98148,Seattle,WA,9519,37411,14479
320,98382,Sequim,WA,21547,37392,14498
321,99169,Ritzville,WA,2534,37308,14597
322,99030,Rockford,WA,848,37273,14635
323,99111,Colfax,WA,4209,37259,14649
324,99402,Asotin,WA,1709,37188,14742
325,99122,Davenport,WA,3272,37138,14799
326,98002,Auburn,WA,30815,36991,14964
327,98204,Everett,WA,31351,36944,15025
328,98801,Wenatchee,WA,36551,36929,15041
329,99034,Tumtum,WA,210,36875,15104
330,99135,Hartline,WA,243,36875,15106
331,98937,Naches,WA,3355,36860,15138
332,98837,Moses Lake,WA,32400,36859,15140
333,98846,Pateros,WA,1005,36818,15177
334,99148,Loon Lake,WA,2001,36806,15188
335,98613,Centerville,WA,489,36786,15207
336,98527,Bay Center,WA,217,36771,15227
337,98862,Winthrop,WA,1916,36736,15266
338,98823,Ephrata,WA,9897,36670,15339
339,98570,Onalaska,WA,3576,36521,15505
340,98303,Anderson Island,WA,2416,36480,15555
341,98834,Methow,WA,262,36458,15578
342,98953,Zillah,WA,6079,36438,15604
343,98852,Stehekin,WA,100,36364,15688
344,98635,Lyle,WA,2193,36328,15728
345,99110,Clayton,WA,1329,36250,15900
346,98941,Roslyn,WA,997,36250,15901
347,98643,Rosburg,WA,395,36250,15903
348,98903,Yakima,WA,13522,36239,15908
349,99326,Connell,WA,3680,36220,15920
350,98650,Trout Lake,WA,779,36181,15958
351,98256,Index,WA,523,36161,15985
352,99009,Elk,WA,3560,36157,15989
353,98281,Point Roberts,WA,1308,36146,16013
354,99336,Kennewick,WA,40820,36100,16066
355,99362,Walla Walla,WA,38023,35841,16399
356,98310,Bremerton,WA,18718,35819,16438
357,98331,Forks,WA,6220,35802,16462
358,98647,Skamokawa,WA,425,35769,16497
359,98568,Oakville,WA,2347,35726,16567
360,98362,Port Angeles,WA,21274,35721,16572
361,99124,Elmer City,WA,148,35625,16677
362,99130,Garfield,WA,889,35625,16678
363,99012,Fairfield,WA,981,35625,16679
364,99212,Spokane,WA,18347,35572,16768
365,98403,Tacoma,WA,7777,35569,16771
366,98241,Darrington,WA,1953,35568,16777
367,98304,Ashford,WA,794,35469,16906
368,99159,Odessa,WA,1645,35433,16950
369,98541,Elma,WA,9163,35423,16965
370,98857,Warden,WA,3724,35417,16990
371,98295,Sumas,WA,4826,35414,16991
372,98822,Entiat,WA,1874,35398,17003
373,99348,Prescott,WA,1699,35324,17111
374,98648,Stevenson,WA,2856,35256,17211
375,99171,Saint John,WA,1072,35150,17348
376,98830,Mansfield,WA,498,35125,17373
377,99123,Electric City,WA,924,35104,17393
378,98930,Grandview,WA,12919,35000,17484
379,99185,Wilbur,WA,1405,34948,17566
380,98947,Tieton,WA,2599,34866,17633
381,99347,Pomeroy,WA,2450,34844,17658
382,99205,Spokane,WA,43739,34778,17725
383,98356,Morton,WA,2158,34756,17747
384,99181,Valley,WA,1870,34676,17849
385,98848,Quincy,WA,9824,34571,17978
386,98404,Tacoma,WA,30679,34483,18057
387,99116,Coulee Dam,WA,1587,34471,18070
388,98557,Mccleary,WA,2776,34293,18279
389,99349,Mattawa,WA,5564,34167,18425
390,98617,Dallesport,WA,956,34145,18454
391,98237,Concrete,WA,2911,34038,18555
392,98610,Carson,WA,2747,34031,18560
393,99143,Lacrosse,WA,766,33889,18710
394,98831,Manson,WA,3178,33779,18803
395,98238,Conway,WA,70,33750,18843
396,98593,Vader,WA,1067,33750,18844
397,99125,Endicott,WA,887,33750,18845
398,98950,Vantage,WA,170,33750,18847
399,98952,White Swan,WA,2684,33700,18962
400,99170,Rosalia,WA,1218,33625,19028
401,98530,Bucoda,WA,551,33571,19077
402,99011,Fairchild Air Force Base,WA,4688,33560,19087
403,98535,Copalis Beach,WA,489,33472,19186
404,98465,Tacoma,WA,6564,33404,19262
405,99156,Newport,WA,7073,33390,19283
406,98560,Matlock,WA,155,33250,19428
407,98816,Chelan,WA,6170,33235,19446
408,99017,Lamont,WA,221,33194,19498
409,98520,Aberdeen,WA,21662,33169,19539
410,99403,Clarkston,WA,18621,33161,19552
411,98201,Everett,WA,30320,33158,19555
412,99114,Colville,WA,12359,32989,19754
413,98661,Vancouver,WA,36868,32975,19770
414,99141,Kettle Falls,WA,5167,32884,19871
415,98590,Tokeland,WA,435,32857,19901
416,98564,Mossyrock,WA,2240,32838,19920
417,98582,Salkum,WA,379,32813,19939
418,98850,Rock Island,WA,1814,32788,19977
419,99329,Dixie,WA,231,32708,20043
420,98339,Port Hadlock,WA,3498,32645,20113
421,99344,Othello,WA,13726,32615,20144
422,98673,Wishram,WA,213,32500,20251
423,98531,Centralia,WA,21842,32485,20324
424,98499,Lakewood,WA,28959,32459,20344
425,98381,Sekiu,WA,1484,32443,20358
426,98631,Long Beach,WA,3411,32388,20427
427,98444,Tacoma,WA,31712,32351,20478
428,98433,Tacoma,WA,19645,32339,20503
429,98569,Ocean Shores,WA,4230,32331,20514
430,99134,Harrington,WA,637,32273,20575
431,98121,Seattle,WA,8558,32271,20584
432,98315,Silverdale,WA,7253,32246,20631
433,98595,Westport,WA,2811,32218,20665
